2025-08-08 08:41:32,704 | smart_irrigation_system.main | INFO | Initializing Smart Irrigation System...
2025-08-08 08:44:47,403 | RelayValve-2 | DEBUG | RelayValve state changed to CLOSED on pin 2
2025-08-08 08:44:47,403 | IrrigationCircuit-2 | DEBUG | State changed to FINISHED.
2025-08-08 08:44:47,404 | IrrigationCircuit-2 | INFO | Irrigation finished successfully.
2025-08-08 08:44:47,406 | IrrigationCircuit-2 | DEBUG | State changed to IDLE.
2025-08-08 08:44:47,420 | IrrigationController | INFO | Starting irrigation for circuit 3...
2025-08-08 08:44:47,420 | RecentWeatherFetcher | DEBUG | Using cached current conditions.
2025-08-08 08:44:47,420 | IrrigationCircuit-3 | DEBUG | Base target water amount is 3.2 liters (non-even area mode).
2025-08-08 08:44:47,421 | IrrigationCircuit-3 | DEBUG | Adjusted water amount is 2.749 liters. Total adjustment is -0.14.
2025-08-08 08:44:47,421 | IrrigationCircuit-3 | INFO | Starting irrigation for 77 seconds.
2025-08-08 08:44:47,421 | IrrigationCircuit-3 | DEBUG | State changed to IRRIGATING.
2025-08-08 08:44:47,421 | RelayValve-3 | DEBUG | Valve will be opened for 77 seconds.
2025-08-08 08:44:47,422 | RelayValve-3 | DEBUG | RelayValve state changed to OPEN on pin 3
2025-08-08 08:46:04,503 | RelayValve-3 | DEBUG | Closing valve after 77 seconds as planned
2025-08-08 08:46:04,503 | RelayValve-3 | DEBUG | RelayValve state changed to CLOSED on pin 3
2025-08-08 08:46:04,504 | IrrigationCircuit-3 | DEBUG | State changed to FINISHED.
2025-08-08 08:46:04,504 | IrrigationCircuit-3 | INFO | Irrigation finished successfully.
2025-08-08 08:46:04,506 | IrrigationCircuit-3 | DEBUG | State changed to IDLE.
2025-08-08 08:46:04,507 | IrrigationController | INFO | Sequential irrigation process completed successfully.
2025-08-08 08:46:04,507 | IrrigationController | INFO | Automatic irrigation process completed successfully.
2025-08-08 08:46:45,659 | smart_irrigation_system.main | INFO | Keyboard interrupt received. Exiting...
2025-08-08 08:46:45,659 | IrrigationController | INFO | Cleaning up resources...
2025-08-08 08:46:45,660 | IrrigationController | INFO | Stopping all irrigation processes...
2025-08-08 08:46:45,660 | IrrigationController | INFO | Stopping circuits done.
2025-08-08 08:46:45,662 | smart_irrigation_system.main | INFO | Smart Irrigation System stopped.
2025-08-08 08:46:45,663 | smart_irrigation_system.main | DEBUG | Current memory usage: 874.42 KB; Peak: 947.67 KB
2025-08-08 08:46:45,667 | CircuitStateManager | DEBUG | All circuits set to 'shutdown' state during clean exit.
