2025-08-08 09:14:19,968 | smart_irrigation_system.main | INFO | Initializing Smart Irrigation System...
2025-08-08 09:14:21,241 | IrrigationCircuit-3 | DEBUG | Adjusted water amount is 2.75 liters. Total adjustment is -0.14.
2025-08-08 09:14:21,241 | IrrigationCircuit-2 | DEBUG | Base target water amount is 6.0 liters (even area mode).
2025-08-08 09:14:21,241 | IrrigationCircuit-1 | DEBUG | State changed to IRRIGATING.
2025-08-08 09:14:21,242 | IrrigationCircuit-3 | INFO | Starting irrigation for 77 seconds.
2025-08-08 09:14:21,242 | IrrigationCircuit-2 | DEBUG | Adjusted water amount is 2.276 liters. Total adjustment is -0.62.
2025-08-08 09:14:21,242 | RelayValve-1 | DEBUG | Valve will be opened for 91 seconds.
2025-08-08 09:14:21,243 | IrrigationCircuit-3 | DEBUG | State changed to IRRIGATING.
2025-08-08 09:14:21,243 | IrrigationCircuit-2 | INFO | Starting irrigation for 102 seconds.
2025-08-08 09:14:21,243 | RelayValve-1 | DEBUG | RelayValve state changed to OPEN on pin 1
2025-08-08 09:14:21,243 | RelayValve-3 | DEBUG | Valve will be opened for 77 seconds.
2025-08-08 09:14:21,244 | IrrigationCircuit-2 | DEBUG | State changed to IRRIGATING.
2025-08-08 09:14:21,244 | RelayValve-3 | DEBUG | RelayValve state changed to OPEN on pin 3
2025-08-08 09:14:21,245 | RelayValve-2 | DEBUG | Valve will be opened for 102 seconds.
2025-08-08 09:14:21,245 | RelayValve-2 | DEBUG | RelayValve state changed to OPEN on pin 2
2025-08-08 09:15:38,323 | RelayValve-3 | DEBUG | Closing valve after 77 seconds as planned
2025-08-08 09:15:38,325 | RelayValve-3 | DEBUG | RelayValve state changed to CLOSED on pin 3
2025-08-08 09:15:38,325 | IrrigationCircuit-3 | DEBUG | State changed to FINISHED.
2025-08-08 09:15:38,326 | IrrigationCircuit-3 | INFO | Irrigation finished successfully.
2025-08-08 09:15:38,328 | IrrigationCircuit-3 | DEBUG | State changed to IDLE.
2025-08-08 09:15:52,314 | RelayValve-1 | DEBUG | Closing valve after 91 seconds as planned
2025-08-08 09:15:52,315 | RelayValve-1 | DEBUG | RelayValve state changed to CLOSED on pin 1
2025-08-08 09:15:52,316 | IrrigationCircuit-1 | DEBUG | State changed to FINISHED.
2025-08-08 09:15:52,317 | IrrigationCircuit-1 | INFO | Irrigation finished successfully.
2025-08-08 09:15:52,319 | IrrigationCircuit-1 | DEBUG | State changed to IDLE.
2025-08-08 09:16:03,291 | RelayValve-2 | DEBUG | Closing valve after 102 seconds as planned
2025-08-08 09:16:03,292 | RelayValve-2 | DEBUG | RelayValve state changed to CLOSED on pin 2
2025-08-08 09:16:03,293 | IrrigationCircuit-2 | DEBUG | State changed to FINISHED.
2025-08-08 09:16:03,293 | IrrigationCircuit-2 | INFO | Irrigation finished successfully.
2025-08-08 09:16:03,296 | IrrigationCircuit-2 | DEBUG | State changed to IDLE.
2025-08-08 09:16:03,397 | IrrigationController | DEBUG | All irrigation threads have completed.
2025-08-08 09:16:03,397 | IrrigationController | INFO | Automatic irrigation process completed successfully.
2025-08-08 09:17:01,692 | smart_irrigation_system.main | DEBUG | Evaluating irrigation time. Current time: 09:17, 
2025-08-08 09:17:01,693 | smart_irrigation_system.main | DEBUG | Next irrigation in 1438 minutes.
2025-08-08 09:17:30,327 | smart_irrigation_system.main | DEBUG | Evaluating irrigation time. Current time: 09:17, 
2025-08-08 09:17:30,328 | smart_irrigation_system.main | DEBUG | Next irrigation in 1438 minutes.
2025-08-08 09:17:47,215 | smart_irrigation_system.main | INFO | Keyboard interrupt received. Exiting...
2025-08-08 09:17:47,215 | IrrigationController | INFO | Cleaning up resources...
2025-08-08 09:17:47,215 | IrrigationController | INFO | Stopping all irrigation processes...
2025-08-08 09:17:47,216 | IrrigationController | INFO | Stopping circuits done.
2025-08-08 09:17:47,218 | smart_irrigation_system.main | INFO | Smart Irrigation System stopped.
2025-08-08 09:17:47,218 | smart_irrigation_system.main | DEBUG | Current memory usage: 887.48 KB; Peak: 947.67 KB
2025-08-08 09:17:47,223 | CircuitStateManager | DEBUG | All circuits set to 'shutdown' state during clean exit.
